date,game_id,home_team,away_team,home_score,away_score,home_win,total_runs,home_pitcher,home_pitcher_era,home_pitcher_whip,home_bullpen_era,home_ops,home_avg,home_slg,home_era,home_whip,home_last5,away_pitcher,away_pitcher_era,away_pitcher_whip,away_bullpen_era,away_ops,away_avg,away_slg,away_era,away_whip,away_last5
2025-07-11,777153,New York Yankees,Chicago Cubs,11,0,1,11,JT Brubaker,7.5,1.6666666666666667,,0.798,0.258,0.459,3.82,0.6666666666666666,,Daniel Palencia,1.65,0.9316770186335402,,0.771,0.256,0.446,3.89,2.375,
2025-07-11,777160,Cincinnati Reds,Colorado Rockies,2,3,0,5,Emilio Pagán,3.08,0.868421052631579,,0.711,0.245,0.395,3.94,1.1111111111111112,,Victor Vodnik,2.3,1.3284132841328413,,0.67,0.23,0.379,5.59,1.4444444444444444,
2025-07-11,777161,Detroit Tigers,Seattle Mariners,3,12,0,15,Chase Lee,3.19,1.064516129032258,3.74875,0.748,0.252,0.424,3.53,1.7777777777777777,,Logan Evans,3.75,1.3572854291417165,3.8044444444444445,0.732,0.247,0.409,3.88,1.1111111111111112,
2025-07-11,777155,Boston Red Sox,Tampa Bay Rays,5,4,1,9,Walker Buehler,6.12,1.564102564102564,,0.761,0.256,0.434,3.86,1.3333333333333333,,Taj Bradley,4.6,1.2790697674418605,,0.731,0.259,0.409,3.81,1.4814814814814816,
2025-07-11,777164,Chicago White Sox,Cleveland Guardians,2,4,0,6,Steven Wilson,1.59,1.2455516014234875,3.7169999999999996,0.638,0.221,0.344,4.14,0.6666666666666666,"W, W, L, L, L",Nic Enright,2.08,1.0769230769230769,3.428,0.661,0.223,0.367,3.95,0.5555555555555556,"W, L, W, W, W"
2025-07-11,777154,Houston Astros,Texas Rangers,3,7,0,10,Framber Valdez,2.9,1.1478260869565218,,0.736,0.26,0.411,3.62,1.8888888888888888,,Shawn Armstrong,3.32,0.9203980099502487,,0.676,0.233,0.374,3.3,1.3333333333333333,
2025-07-11,777148,Minnesota Twins,Pittsburgh Pirates,2,1,1,3,Justin Topa,4.0,1.3333333333333333,,0.702,0.239,0.394,4.1,1.1111111111111112,,Paul Skenes,2.01,0.9256198347107438,,0.64,0.23,0.339,3.67,0.875,
2025-07-11,777149,Milwaukee Brewers,Washington Nationals,8,3,1,11,Tobias Myers,4.95,1.8,2.960909090909091,0.705,0.247,0.383,3.67,1.1111111111111112,"W, W, W, W, W",Shinnosuke Ogasawara,13.5,3.1818181818181817,6.28125,0.701,0.245,0.389,5.19,1.625,"W, L, L, L, L"
2025-07-11,777150,Los Angeles Angels,Arizona Diamondbacks,6,5,1,11,Connor Brogdon,5.18,1.2448132780082988,,0.71,0.231,0.409,4.67,1.4444444444444444,,Eduardo Rodriguez,5.94,1.6729088639201,,0.774,0.251,0.446,4.63,2.469135802469136,
2025-07-11,777139,San Diego Padres,Philadelphia Phillies,4,2,1,6,Yuki Matsui,5.09,1.4245014245014245,,0.689,0.246,0.374,3.67,1.0,,Jesús Luzardo,4.14,1.4121037463976946,,0.735,0.256,0.406,3.67,1.375,
2025-07-11,777152,Athletics,Toronto Blue Jays,6,7,0,13,Luis Severino,5.16,1.4146772767462423,,0.732,0.248,0.416,5.24,1.7777777777777777,,Brendon Little,2.08,1.2761020881670533,,0.737,0.26,0.405,4.15,1.3333333333333333,
2025-07-11,777143,San Francisco Giants,Los Angeles Dodgers,8,7,1,15,Scott Alexander,6.11,1.8604651162790697,4.384444444444444,0.685,0.232,0.373,3.53,1.4444444444444444,,Ben Casparius,4.55,1.2111292962356792,3.3075,0.782,0.258,0.449,4.36,1.875,
2025-07-10,777159,Los Angeles Angels,Texas Rangers,4,11,0,15,Connor Brogdon,5.18,1.2448132780082988,,0.706,0.23,0.407,4.66,2.111111111111111,,Shawn Armstrong,3.38,0.925,,0.672,0.231,0.372,3.31,1.4444444444444444,
2025-07-10,777158,San Diego Padres,Arizona Diamondbacks,4,3,1,7,Yuki Matsui,5.14,1.4,,0.689,0.245,0.374,3.69,1.6666666666666667,,Eduardo Rodriguez,5.94,1.6729088639201,,0.773,0.251,0.445,4.61,2.25,
2025-07-10,777156,Athletics,Atlanta Braves,5,4,1,9,Luis Severino,5.3,1.3955637707948243,,0.731,0.248,0.415,5.29,0.5454545454545454,,Spencer Strider,3.94,1.1764705882352942,,0.699,0.241,0.385,3.82,1.188118811881188,
2025-07-10,777167,St. Louis Cardinals,Washington Nationals,8,1,1,9,Matt Svanson,3.47,0.9090909090909092,,0.715,0.252,0.394,4.07,0.7777777777777778,,Shinnosuke Ogasawara,13.5,3.1818181818181817,,0.701,0.246,0.389,5.15,1.625,
2025-07-10,777170,Boston Red Sox,Tampa Bay Rays,4,3,1,7,Walker Buehler,6.12,1.564102564102564,4.543333333333334,0.761,0.256,0.434,3.89,1.1111111111111112,,Taj Bradley,4.6,1.2790697674418603,2.873,0.733,0.26,0.411,3.79,1.125,
2025-07-10,777169,New York Yankees,Seattle Mariners,6,5,1,11,JT Brubaker,7.5,1.6666666666666667,,0.793,0.257,0.455,3.86,1.3,,Logan Evans,3.75,1.3572854291417165,,0.729,0.246,0.407,3.9,1.1956521739130437,
